product_id,product_name,category,price,cost,stock_quantity,reorder_level
1,Automated executive standardization,Electronics,495.27,338.4,477,39
2,Virtual client-server Local Area Network,Sports,275.97,152.15,419,24
3,Multi-layered static standardization,Beauty,339.52,205.47,427,36
4,Cross-platform logistical policy,Clothing,80.81,56.5,389,26
5,Proactive real-time adapter,Sports,314.67,198.79,36,24
6,Profound intermediate orchestration,Electronics,107.4,71.48,352,93
7,Multi-layered regional neural-net,Books,397.04,189.69,238,90
8,Versatile intermediate infrastructure,Books,280.82,193,305,79
9,Enhanced analyzing benchmark,Toys,78.98,53.16,142,97
10,Decentralized homogeneous collaboration,Electronics,341.12,184.33,39,16
11,Cross-platform cohesive migration,Sports,244.02,169.36,344,48
12,Proactive clear-thinking throughput,Clothing,6.14,2.47,321,34
13,Networked radical middleware,Home,184.51,73.31,326,94
14,Future-proofed object-oriented contingency,Toys,58.57,28.82,83,88
15,Multi-tiered asymmetric application,Home,163.3,120.54,326,84
16,Reduced analyzing contingency,Sports,9.01,3.18,402,94
17,Centralized composite frame,Clothing,406.97,149.53,140,62
18,Grass-roots asynchronous model,Clothing,429.11,320.82,331,14
19,Secured bi-directional paradigm,Clothing,INVALID,203.84,83,41
20,Streamlined solution-oriented service-desk,Home,101.26,73.73,-83,25
21,Centralized bandwidth-monitored process improvement,Home,165.53,67.11,132,60
22,Persevering zero tolerance project,Sports,173.96,103.18,88,43
23,,Books,436.94,242,58,71
24,Progressive static standardization,Home,13.1,7.72,119,80
25,Organic composite capacity,Electronics,394.92,162.7,325,62
26,Configurable zero-defect functionalities,Toys,109.61,50.06,389,56
27,Business-focused optimizing flexibility,Sports,224.01,95.94,2,75
28,Multi-layered upward-trending contingency,Beauty,380.09,226.65,104,47
29,Synergistic real-time archive,Beauty,414.59,229.2,155,26
30,Reactive stable budgetary management,Sports,61.15,26.74,173,42
31,Innovative modular time-frame,Sports,423.41,460.03,349,99
32,Upgradable high-level structure,Home,229.34,150.54,169,38
33,Optional 6thgeneration leverage,Toys,340.12,151.18,270,91
34,Operative real-time time-frame,Clothing,181.31,105.35,49,34
35,Configurable heuristic capacity,Toys,79.01,53.23,104,94
36,Stand-alone background secured line,Toys,452.84,307.32,317,22
37,Upgradable coherent orchestration,Electronics,252.09,140.81,48,42
38,Integrated bi-directional solution,Beauty,115.33,83.31,485,37
39,Public-key interactive intranet,Sports,432.79,242.09,288,29
40,Reverse-engineered 5thgeneration circuit,Beauty,375.77,250.27,427,82
41,Adaptive bi-directional utilization,Books,184.96,124.18,196,43
42,Decentralized clear-thinking support,Books,305.82,157.43,198,28
43,Ameliorated zero administration time-frame,Sports,484.98,226.17,228,94
44,Mandatory bottom-line structure,Clothing,69.74,37.83,133,35
45,Public-key modular firmware,Toys,71.89,32.27,343,76
46,Versatile tangible knowledgebase,Electronics,25.53,17.25,264,91
47,Mandatory human-resource array,Books,433.26,166.65,381,17
48,Universal 5thgeneration array,Toys,235.69,154.96,13,65
49,Universal demand-driven service-desk,Toys,136.08,54.06,-66,56
50,Open-architected content-based software,,249.58,185.5,142,13
51,Re-engineered impactful firmware,Sports,264.87,95.13,295,78
52,Right-sized optimizing installation,Home,214.35,117.4,190,31
53,Inverse hybrid hardware,Clothing,150.45,102.99,17,51
54,Business-focused contextually-based monitoring,Beauty,94.47,57.49,344,93
55,,Electronics,68.69,24.65,86,39
56,Triple-buffered user-facing application,Clothing,407.91,275.58,447,58
57,Synchronized discrete framework,Sports,404.36,173.07,166,71
58,Face-to-face grid-enabled core,Electronics,49.16,33.95,408,74
59,Vision-oriented didactic info-mediaries,Books,365.1,148.74,312,66
60,Networked directional approach,Home,407.99,292.41,208,56
61,Persevering motivating approach,Electronics,489.37,248.61,61,86
62,Cross-platform 4thgeneration algorithm,Home,64.4,22.87,62,64
63,Quality-focused reciprocal migration,Electronics,120.95,50.17,306,22
64,Profit-focused motivating budgetary management,Sports,INVALID,103.97,45,29
65,Reduced grid-enabled firmware,Sports,491.99,242.17,429,66
66,Face-to-face clear-thinking knowledge user,Books,433.45,156.38,188,91
67,Virtual hybrid collaboration,Clothing,280.59,158.8,249,10
68,Fully-configurable 24hour benchmark,Clothing,392.21,252.17,120,18
69,Total directional capability,Toys,478.73,334.38,281,42
70,Re-contextualized regional instruction set,Books,103.35,50.53,12,23
